Timestamp,Category,Status,Details
19:39:17,Violation,19:39:17 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:15,Violation,19:39:15 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:14,Violation,19:39:14 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:13,Violation,19:39:13 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:11,Violation,19:39:11 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:10,Violation,19:39:10 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:08,Violation,19:39:08 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:07,Violation,19:39:07 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:05,Violation,19:39:05 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:04,Violation,19:39:04 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:02,Violation,19:39:02 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:39:00,Violation,19:39:00 - 👷 2 Person(s) detected,"👤P1: No No Helmet, No No Mask | 👤P2: No No Helmet, No No Mask"
19:38:59,Violation,19:38:59 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:38:57,Violation,19:38:57 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:38:56,Violation,19:38:56 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
